NGC189;00h39.6m;+61°06';Carina;Open Cluster;8.8;5';Caroline Herschel
NGC225;00h43.6m;+61°46';Carina;Open Cluster;7;15';Caroline Herschel
NGC281;00h52.8m;+56°37';Carina;Bright Nebula;7.8;35'-30';Pacman Nebula
NGC288;00h52.8m;-26°35';Sagittarius;Globular Cluster;7.9;13';
NGC404;01h09.4m;+35°43';Andromeda;Galaxy;9.8;6.6'-6.6';Mirach's Ghost
NGC584;01h31.3m;-06°52';Cepheus;Galaxy;10.4;3.8'-2.4';Little Spindle
NGC659;01h44.4m;+60°40';Carina;Open Cluster;8.2;6';Caroline Herschel
NGC772;01h59.3m;+19°00';Ara;Galaxy;9.9;7.1'-4.7';Fiddlehead
NGC908;02h23.1m;-21°14';Cepheus;Galaxy;10.4;6.1'-2.7';
NGC1023;02h40.4m;+39°04';Pegasus;Galaxy;9.3;7.5'-3.0';Perseus Lenticular
NGC1232;03h09.8m;-20°35';Equuleus;Galaxy;9.5;7.2'-5.7';Eye of God
NGC1291;03h17.3m;-41°06';Equuleus;Galaxy;8.6;11.1'-10.1';Snow Collar Galaxy
NGC1316;03h22.7m;-37°12';Eridanus;Galaxy;8.2;13.5'-9.3';Fornax A
Mel20;03h24.3m;+49°52';Pegasus;Open Cluster;2.3;300';Alpha Per. Moving Cluster
NGC1333;03h29.3m;+31°25';Pegasus;Bright Nebula;5.7;6'-3';Embryo Nebula
NGC1360;03h33.2m;-25°52';Eridanus;Planetary Nebula;9.1;9'-5';Comet Planetary
NGC1365;03h33.6m;-36°08';Eridanus;Galaxy;8.3;11.2'-5.9';
NGC1399;03h38.5m;-35°27';Eridanus;Galaxy;8.8;8.1'-7.6';
NGC1398;03h38.9m;-26°20';Eridanus;Galaxy;9.5;7.6'-5.3';
NGC1404;03h38.9m;-35°36';Eridanus;Galaxy;9.7;4.8'-3.9';
Kem1;03h57.4m;+63°04';Caelum;Asterism;-;180';Kemble-s Cascade
NGC1501;04h07.0m;+60°55';Caelum;Planetary Nebula;10.6;56'-48';Oyster Nebula
NGC1502;04h07.8m;+62°20';Caelum;Open Cluster;6;20';Jolly Roger Cluster
NGC1535;04h14.3m;-12°44';Equuleus;Planetary Nebula;9.1;48'-42';Cleopatra's Eye
NGC1528;04h15.3m;+51°13';Pegasus;Open Cluster;6.2;18';m&m Double Cluster
NGC1545;04h20.9m;+50°15';Pegasus;Open Cluster;6.6;12';m&m Double Cluster
NGC1647;04h45.7m;+19°07';Sextans;Open Cluster;6.2;40';Pirate Moon Cluster
IC418;05h27.5m;-12°42';Leo Minor;Planetary Nebula;9.1;14'-11';Spirograph Nebula
